,Question,choice 1,choice 2,choice 3,choice 4
8223,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
8224,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
8225,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
8226,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
8227,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
8228,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
8229,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
8230,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
8231,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
8232,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
8233,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
8234,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
8235,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
8236,What is a great place to lay in the sun?,in the basement,west,solar system,beach
8237,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
8238,The president is the leader of what institution?,walmart,white house,country,corporation
8239,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
8240,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
8241,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
8242,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
8243,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
8244,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
8245,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
8246,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
8247,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
8248,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
8249,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
8250,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
8251,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
8252,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
8253,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
8254,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
8255,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
8256,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
8257,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
8258,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
8259,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
8260,What do drugs do?,damage,cloud mind,lower i.q,cause illness
8261,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
8262,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
8263,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
8264,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
8265,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
8266,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
